game_id,date,season,game_type,opponent,venue,kobe_points,lal_score,opp_score,result
29600027,1996-11-03,1996-97,RS,MIN,Home,0,91,85,W
29600044,1996-11-06,1996-97,RS,CHH,Away,5,78,88,L
29600057,1996-11-08,1996-97,RS,TOR,Away,10,92,93,L
29600072,1996-11-10,1996-97,RS,ATL,Home,2,92,85,W
29600086,1996-11-12,1996-97,RS,HOU,Away,2,126,115,W
29600095,1996-11-13,1996-97,RS,SAS,Away,6,83,95,L
29600112,1996-11-15,1996-97,RS,LAC,Home,4,107,100,W
29600126,1996-11-17,1996-97,RS,PHX,Away,16,102,88,W
29600136,1996-11-19,1996-97,RS,GSW,Away,3,112,109,W
29600144,1996-11-20,1996-97,RS,UTA,Home,11,97,113,L
29600179,1996-11-26,1996-97,RS,PHI,Away,12,100,88,W
29600187,1996-11-27,1996-97,RS,BOS,Away,2,94,110,L
29600202,1996-11-29,1996-97,RS,DET,Away,1,84,76,W
29600219,1996-12-01,1996-97,RS,DEN,Home,2,104,96,W
29600240,1996-12-04,1996-97,RS,UTA,Away,8,75,101,L
29600270,1996-12-08,1996-97,RS,MIN,Home,11,110,86,W
29600284,1996-12-10,1996-97,RS,SAC,Away,0,92,90,W
29600330,1996-12-17,1996-97,RS,CHI,Away,5,123,129,L
29600362,1996-12-21,1996-97,RS,MIN,Away,5,88,103,L
29600382,1996-12-25,1996-97,RS,PHX,Away,0,108,87,W
29600412,1996-12-29,1996-97,RS,PHI,Home,0,115,102,W
29600432,1997-01-02,1996-97,RS,SAC,Away,4,90,83,W
29600439,1997-01-03,1996-97,RS,SAC,Home,21,100,93,W
29600454,1997-01-05,1996-97,RS,VAN,Away,16,95,82,W
29600457,1997-01-06,1996-97,RS,POR,Away,8,84,88,L
29600474,1997-01-08,1996-97,RS,CHH,Home,9,101,97,W
29600488,1997-01-10,1996-97,RS,MIA,Home,2,94,85,W
29600513,1997-01-14,1996-97,RS,VAN,Home,2,91,81,W
29600545,1997-01-18,1996-97,RS,DET,Home,21,97,100,L
29600559,1997-01-20,1996-97,RS,DAL,Home,6,109,99,W
29600590,1997-01-24,1996-97,RS,GSW,Home,17,114,97,W
29600603,1997-01-26,1996-97,RS,SEA,Away,7,104,103,W
29600613,1997-01-28,1996-97,RS,DAL,Away,12,102,83,W
29600623,1997-01-29,1996-97,RS,SAS,Away,19,99,92,W
29600654,1997-02-02,1996-97,RS,WAS,Home,13,129,99,W
29600665,1997-02-04,1996-97,RS,LAC,Away,6,86,108,L
29600673,1997-02-05,1996-97,RS,CHI,Home,5,106,90,W
29600698,1997-02-12,1996-97,RS,MIN,Away,2,100,84,W
29600704,1997-02-13,1996-97,RS,DEN,Away,9,132,117,W
29600727,1997-02-16,1996-97,RS,SEA,Home,0,91,102,L
29600748,1997-02-19,1996-97,RS,CLE,Home,10,84,103,L
29600767,1997-02-21,1996-97,RS,VAN,Home,2,99,91,W
29600781,1997-02-23,1996-97,RS,NYK,Home,0,121,127,L
29600813,1997-02-28,1996-97,RS,ATL,Away,0,75,86,L
29600828,1997-03-02,1996-97,RS,IND,Away,10,85,101,L
29600844,1997-03-04,1996-97,RS,DAL,Away,0,102,92,W
29600869,1997-03-07,1996-97,RS,HOU,Home,8,90,111,L
29600884,1997-03-09,1996-97,RS,NJN,Home,12,115,105,W
29600905,1997-03-12,1996-97,RS,GSW,Home,18,109,101,W
29600920,1997-03-14,1996-97,RS,LAC,Home,16,95,97,L
29600935,1997-03-16,1996-97,RS,TOR,Home,10,98,90,W
29600942,1997-03-17,1996-97,RS,DEN,Away,8,113,94,W
29600961,1997-03-20,1996-97,RS,CLE,Away,0,89,76,W
29600985,1997-03-23,1996-97,RS,ORL,Away,8,84,110,L
29600991,1997-03-24,1996-97,RS,NJN,Away,6,109,84,W
29601008,1997-03-26,1996-97,RS,MIL,Home,19,106,84,W
29601014,1997-03-27,1996-97,RS,VAN,Away,20,102,98,W
29601046,1997-04-01,1996-97,RS,SEA,Away,9,99,97,W
29601055,1997-04-02,1996-97,RS,DEN,Home,6,110,85,W
29601070,1997-04-04,1996-97,RS,SAS,Home,15,83,94,L
29601083,1997-04-06,1996-97,RS,DAL,Home,13,87,80,W
29601099,1997-04-08,1996-97,RS,GSW,Away,24,109,85,W
29601104,1997-04-09,1996-97,RS,UTA,Away,11,89,101,L
29601121,1997-04-11,1996-97,RS,PHX,Home,7,114,98,W
29601135,1997-04-13,1996-97,RS,UTA,Home,12,100,98,W
29601162,1997-04-17,1996-97,RS,SAC,Home,3,108,99,W
49600008,1997-04-25,1996-97,PO,POR,Home,2,95,77,W
49600013,1997-04-27,1996-97,PO,POR,Home,6,107,93,W
49600024,1997-04-30,1996-97,PO,POR,Away,22,90,98,L
49600041,1997-05-04,1996-97,PO,UTA,Away,3,77,93,L
49600044,1997-05-06,1996-97,PO,UTA,Away,2,101,103,L
49600048,1997-05-08,1996-97,PO,UTA,Home,19,104,84,W
49600052,1997-05-10,1996-97,PO,UTA,Home,9,95,110,L
49600057,1997-05-12,1996-97,PO,UTA,Away,11,93,98,L
29700012,1997-10-31,1997-98,RS,UTA,Home,23,104,87,W
29700040,1997-11-04,1997-98,RS,SAC,Away,4,101,98,W
29700062,1997-11-07,1997-98,RS,NYK,Home,4,99,94,W
29700076,1997-11-09,1997-98,RS,GSW,Home,25,132,97,W
29700126,1997-11-16,1997-98,RS,VAN,Home,11,121,95,W
29700135,1997-11-18,1997-98,RS,UTA,Away,19,97,92,W
29700144,1997-11-19,1997-98,RS,MIN,Home,20,118,93,W
29700172,1997-11-23,1997-98,RS,LAC,Home,24,119,102,W
29700177,1997-11-25,1997-98,RS,MIA,Away,16,86,103,L
29700183,1997-11-26,1997-98,RS,BOS,Away,14,118,103,W
29700194,1997-11-28,1997-98,RS,PHI,Away,19,95,105,L
29700217,1997-11-30,1997-98,RS,TOR,Home,6,105,99,W
29700233,1997-12-03,1997-98,RS,DEN,Away,10,107,89,W
29700249,1997-12-05,1997-98,RS,SAS,Home,17,98,88,W
29700262,1997-12-07,1997-98,RS,CLE,Home,21,84,94,L
29700267,1997-12-08,1997-98,RS,POR,Away,19,99,105,L
29700284,1997-12-10,1997-98,RS,GSW,Away,20,92,93,L
29700297,1997-12-12,1997-98,RS,HOU,Home,27,119,102,W
29700310,1997-12-14,1997-98,RS,DAL,Home,30,119,89,W
29700322,1997-12-16,1997-98,RS,MIN,Away,19,109,96,W
29700335,1997-12-17,1997-98,RS,CHI,Away,33,83,104,L
29700343,1997-12-19,1997-98,RS,ATL,Away,19,98,96,W
29700352,1997-12-20,1997-98,RS,CHH,Away,13,109,100,W
29700370,1997-12-22,1997-98,RS,HOU,Away,19,94,83,W
29700390,1997-12-26,1997-98,RS,LAC,Home,16,118,114,W
29700404,1997-12-28,1997-98,RS,BOS,Home,17,102,108,L
