game_id,date,season,game_type,opponent,venue,result,fg2_made,fg3_made,fg_att,ft_att,ft_made,fg_made,total_points,fg_pct,ft_pct
29600027,1996-11-03,1996-97,RS,MIN,Home,W,0,0,1,0,0,0,0,0.0,
29600044,1996-11-06,1996-97,RS,CHH,Away,L,1,1,3,0,0,2,5,66.7,
29600057,1996-11-08,1996-97,RS,TOR,Away,L,1,2,8,4,2,3,10,37.5,50.0
29600072,1996-11-10,1996-97,RS,ATL,Home,W,0,0,3,2,2,0,2,0.0,100.0
29600086,1996-11-12,1996-97,RS,HOU,Away,W,1,0,2,0,0,1,2,50.0,
29600095,1996-11-13,1996-97,RS,SAS,Away,L,1,1,2,1,1,2,6,100.0,100.0
29600112,1996-11-15,1996-97,RS,LAC,Home,W,1,0,4,3,2,1,4,25.0,66.7
29600126,1996-11-17,1996-97,RS,PHX,Away,W,1,4,8,2,2,5,16,62.5,100.0
29600136,1996-11-19,1996-97,RS,GSW,Away,W,0,0,2,4,3,0,3,0.0,75.0
29600144,1996-11-20,1996-97,RS,UTA,Home,L,1,3,5,0,0,4,11,80.0,
29600179,1996-11-26,1996-97,RS,PHI,Away,W,2,2,10,2,2,4,12,40.0,100.0
29600187,1996-11-27,1996-97,RS,BOS,Away,L,1,0,7,0,0,1,2,14.3,
29600202,1996-11-29,1996-97,RS,DET,Away,W,0,0,1,2,1,0,1,0.0,50.0
29600219,1996-12-01,1996-97,RS,DEN,Home,W,1,0,2,0,0,1,2,50.0,
29600240,1996-12-04,1996-97,RS,UTA,Away,L,2,0,6,6,4,2,8,33.3,66.7
29600270,1996-12-08,1996-97,RS,MIN,Home,W,3,0,10,6,5,3,11,30.0,83.3
29600284,1996-12-10,1996-97,RS,SAC,Away,W,0,0,1,0,0,0,0,0.0,
29600330,1996-12-17,1996-97,RS,CHI,Away,L,1,1,5,2,0,2,5,40.0,0.0
29600362,1996-12-21,1996-97,RS,MIN,Away,L,1,1,3,0,0,2,5,66.7,
29600382,1996-12-25,1996-97,RS,PHX,Away,W,0,0,2,0,0,0,0,0.0,
29600412,1996-12-29,1996-97,RS,PHI,Home,W,0,0,1,0,0,0,0,0.0,
29600432,1997-01-02,1996-97,RS,SAC,Away,W,2,0,3,0,0,2,4,66.7,
29600439,1997-01-03,1996-97,RS,SAC,Home,W,6,0,10,10,9,6,21,60.0,90.0
29600454,1997-01-05,1996-97,RS,VAN,Away,W,5,1,9,4,3,6,16,66.7,75.0
29600457,1997-01-06,1996-97,RS,POR,Away,L,2,1,9,2,1,3,8,33.3,50.0
29600474,1997-01-08,1996-97,RS,CHH,Home,W,4,0,13,2,1,4,9,30.8,50.0
29600488,1997-01-10,1996-97,RS,MIA,Home,W,1,0,3,0,0,1,2,33.3,
29600513,1997-01-14,1996-97,RS,VAN,Home,W,1,0,6,0,0,1,2,16.7,
29600545,1997-01-18,1996-97,RS,DET,Home,L,5,3,13,2,2,8,21,61.5,100.0
29600559,1997-01-20,1996-97,RS,DAL,Home,W,3,0,7,0,0,3,6,42.9,
29600590,1997-01-24,1996-97,RS,GSW,Home,W,3,1,8,8,8,4,17,50.0,100.0
29600603,1997-01-26,1996-97,RS,SEA,Away,W,2,1,6,0,0,3,7,50.0,
29600613,1997-01-28,1996-97,RS,DAL,Away,W,5,0,11,3,2,5,12,45.5,66.7
29600623,1997-01-29,1996-97,RS,SAS,Away,W,3,3,12,4,4,6,19,50.0,100.0
29600654,1997-02-02,1996-97,RS,WAS,Home,W,2,0,9,9,9,2,13,22.2,100.0
29600665,1997-02-04,1996-97,RS,LAC,Away,L,2,0,10,2,2,2,6,20.0,100.0
29600673,1997-02-05,1996-97,RS,CHI,Home,W,1,1,7,0,0,2,5,28.6,
29600698,1997-02-12,1996-97,RS,MIN,Away,W,0,0,4,3,2,0,2,0.0,66.7
29600704,1997-02-13,1996-97,RS,DEN,Away,W,3,1,10,0,0,4,9,40.0,
29600727,1997-02-16,1996-97,RS,SEA,Home,L,0,0,3,0,0,0,0,0.0,
29600748,1997-02-19,1996-97,RS,CLE,Home,L,1,2,7,2,2,3,10,42.9,100.0
29600767,1997-02-21,1996-97,RS,VAN,Home,W,1,0,1,0,0,1,2,100.0,
29600781,1997-02-23,1996-97,RS,NYK,Home,L,0,0,2,0,0,0,0,0.0,
29600813,1997-02-28,1996-97,RS,ATL,Away,L,0,0,1,0,0,0,0,0.0,
29600828,1997-03-02,1996-97,RS,IND,Away,L,4,0,9,2,2,4,10,44.4,100.0
29600844,1997-03-04,1996-97,RS,DAL,Away,W,0,0,2,0,0,0,0,0.0,
29600869,1997-03-07,1996-97,RS,HOU,Home,L,3,0,10,2,2,3,8,30.0,100.0
29600884,1997-03-09,1996-97,RS,NJN,Home,W,2,1,6,5,5,3,12,50.0,100.0
29600905,1997-03-12,1996-97,RS,GSW,Home,W,2,4,10,3,2,6,18,60.0,66.7
29600920,1997-03-14,1996-97,RS,LAC,Home,L,3,3,13,2,1,6,16,46.2,50.0
29600935,1997-03-16,1996-97,RS,TOR,Home,W,0,2,9,4,4,2,10,22.2,100.0
29600942,1997-03-17,1996-97,RS,DEN,Away,W,1,2,7,0,0,3,8,42.9,
29600961,1997-03-20,1996-97,RS,CLE,Away,W,0,0,1,0,0,0,0,0.0,
29600985,1997-03-23,1996-97,RS,ORL,Away,L,3,0,6,2,2,3,8,50.0,100.0
29600991,1997-03-24,1996-97,RS,NJN,Away,W,2,0,3,3,2,2,6,66.7,66.7
29601008,1997-03-26,1996-97,RS,MIL,Home,W,5,2,14,4,3,7,19,50.0,75.0
29601014,1997-03-27,1996-97,RS,VAN,Away,W,5,1,16,7,7,6,20,37.5,100.0
29601046,1997-04-01,1996-97,RS,SEA,Away,W,3,1,5,0,0,4,9,80.0,
29601055,1997-04-02,1996-97,RS,DEN,Home,W,2,0,6,2,2,2,6,33.3,100.0
29601070,1997-04-04,1996-97,RS,SAS,Home,L,4,0,6,7,7,4,15,66.7,100.0
29601083,1997-04-06,1996-97,RS,DAL,Home,W,1,2,9,5,5,3,13,33.3,100.0
29601099,1997-04-08,1996-97,RS,GSW,Away,W,7,2,11,7,4,9,24,81.8,57.1
29601104,1997-04-09,1996-97,RS,UTA,Away,L,2,1,12,6,4,3,11,25.0,66.7
29601121,1997-04-11,1996-97,RS,PHX,Home,W,2,1,7,0,0,3,7,42.9,
29601135,1997-04-13,1996-97,RS,UTA,Home,W,3,0,5,6,6,3,12,60.0,100.0
29601162,1997-04-17,1996-97,RS,SAC,Home,W,1,0,4,2,1,1,3,25.0,50.0
49600008,1997-04-25,1996-97,PO,POR,Home,W,0,0,0,0,0,0,0,,
49600013,1997-04-27,1996-97,PO,POR,Home,W,0,0,0,4,4,0,4,,100.0
49600024,1997-04-30,1996-97,PO,POR,Away,L,0,0,0,8,6,0,6,,75.0
49600041,1997-05-04,1996-97,PO,UTA,Away,L,0,0,0,1,0,0,0,,0.0
49600044,1997-05-06,1996-97,PO,UTA,Away,L,0,0,0,0,0,0,0,,
49600048,1997-05-08,1996-97,PO,UTA,Home,W,0,0,0,14,13,0,13,,92.9
49600052,1997-05-10,1996-97,PO,UTA,Home,L,0,0,0,0,0,0,0,,
49600057,1997-05-12,1996-97,PO,UTA,Away,L,0,0,0,3,3,0,3,,100.0
29700012,1997-10-31,1997-98,RS,UTA,Home,W,5,0,13,14,13,5,23,38.5,92.9
29700040,1997-11-04,1997-98,RS,SAC,Away,W,2,0,10,0,0,2,4,20.0,
29700062,1997-11-07,1997-98,RS,NYK,Home,W,1,0,9,3,2,1,4,11.1,66.7
29700076,1997-11-09,1997-98,RS,GSW,Home,W,9,2,18,2,1,11,25,61.1,50.0
29700126,1997-11-16,1997-98,RS,VAN,Home,W,1,1,6,6,6,2,11,33.3,100.0
29700135,1997-11-18,1997-98,RS,UTA,Away,W,4,0,10,12,11,4,19,40.0,91.7
29700144,1997-11-19,1997-98,RS,MIN,Home,W,8,1,18,1,1,9,20,50.0,100.0
